"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1374","V2940",5809996080,"","77","12","5 minutes","Apr 28th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",5809996080,"CloudKit-e92e6929d9e3b9defbd5e86fa4a7a294c2d02318f8c650102c2cdc6faba045aa1122b2cbda687300559a9012c8c5c6d14595cbc21d72a2705d7ea1d8168fcf4d","T-Mobile","Gwynn Oak","United States","Apple iPhone","Apple iPhone 6s Plus","Baltimore, MD","74.106.246.20","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Maryland","3.3.2","3.3.3",NA,NA,"","false",645,10,"true",2,"false"
"1375","V2941",6360207512,"","1303","21","3 hours","May 19th, 2016 (UTC)","Jul 22nd, 2016 (UTC)","0","$0.00",6360207512,"","Telkomsel","Medan","Indonesia","Apple iPhone","Apple iPhone 6","","36.76.76.101","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","North Sumatra","3.3.3","3.5.1",NA,NA,"","false",613,0,"true",29,"true"
"1376","V2942",6595071682,"7943801395","22","1","3 minutes","Apr 5th, 2016 (UTC)","Jul 9th, 2016 (UTC)","0","$0.00",6595071682,"CloudKit-6feb725985be40607efa6c05ffe1cb1703480bfe2ae3c5e4adf68dd3521d4ca3a53114e8ae4b29422fc948d840347e9c774d96172045de82efc19b9fedf3132f","Verizon","Gilbert","United States","Apple iPhone SE","","Phoenix, AZ","97.124.24.245","English","amplitude-ios/3.8.1","ios 9.3.1","","iOS","Arizona","","3.4.0",NA,NA,"","true",238,0,"true",1,"false"
"1377","V2943",7758837630,"","3","1","a few seconds","Jul 3rd, 2016 (UTC)","Jul 3rd, 2016 (UTC)","0","$0.00",7758837630,"0BCF8A91-8F13-45E5-BA7F-71490FDA37FE","csl.","Central District","Hong Kong","Apple iPhone","Apple iPhone 6s Plus","","218.102.203.211","Chinese","amplitude-ios/3.8.1","ios 9.3.1","","iOS","","3.4.0","3.4.0",NA,NA,"","false",6584,0,"true",0,"false"
"1378","V2944",7323827941,"","44","2","11 minutes","Jun 19th, 2016 (UTC)","Jul 7th, 2016 (UTC)","0","$0.00",7323827941,"","Verizon","Winter Garden","United States","Apple iPhone","Apple iPhone 6","Orlando-Daytona Beach, FL","65.115.180.234","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Florida","3.3.3","3.4.0",NA,NA,"","false",1187,0,"true",2,"false"
"1379","V2945",6594454583,"","61","2","3 minutes","Feb 18th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",6594454583,"CloudKit-40e36e0d30ab9e9735e2510540bce494e953f8dc56f807695375b84a9f629eabb09121389d66a9ddf548714f33469c608b688e7229ae514a58ee0edd2a764103","TRUE-H","Huai Khwang","Thailand","Apple iPhone","Apple iPhone 6 Plus","","223.24.76.252","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Bangkok","","3.4.0",NA,NA,"","false",3872,12,"true",6,"true"
"1380","V2946",6328943843,"","165","13","10 minutes","May 18th, 2016 (UTC)","Jul 10th, 2016 (UTC)","0","$0.00",6328943843,"CloudKit-29beeef47948274060735edc24914e4bf51966d7dc8004e1ab1863311efc97d8bd5c1e1e6731dc1c2a6f2672782220b357b425cfa30559c48980dcf41a97178a","Free","Alexandria","United States","Apple iPhone","Apple iPhone 6s","Washington, DC (Hagerstown, MD)","108.51.214.74","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Virginia","3.3.3","3.4.0",NA,NA,"","false",10569,34,"true",2,"true"
"1381","V2947",5887722270,"7906612021, 7442792943, 6946154557","5259","151","14 hours","May 1st, 2016 (UTC)","Jul 28th, 2016 (UTC)","4","$10.96",5887722270,"CloudKit-9707b5fc0fa8ec13c5d8bb9789cd4169dd37d1ddb85f2894c2e5ccdbfd36042d1e874a4900b019889337abf9c6d1dc82638ff67b6d9a0668b7fea1bcfef12952","Verizon","Whitmore Lake","United States","Apple iPhone","Apple iPhone 6s Plus","Detroit, MI","70.194.0.247","English","amplitude-ios/3.8.2","ios 10.0","true","iOS","Michigan","3.3.2","3.5.0",65,NA,"","false",5486,38,"true",21,"true"
"1382","V2948",6076550512,"","430","11","38 minutes","Apr 25th, 2016 (UTC)","Jul 26th, 2016 (UTC)","0","$0.00",6076550512,"CloudKit-7b8d2baf26c4ea8dd35a605fb4aaa888a46658532fe26458533a904b0613590fe56703709b064bc4230a94173f48db81285d2dae4164f7f0a6690217d9e77b6c","OPTUS","Toongabbie West","Australia","Apple iPhone","Apple iPhone 6","","122.107.114.157","English","amplitude-ios/3.8.2","ios 9.3.1","","iOS","New South Wales","3.3.1","3.5.1",0,NA,"true","false",6540,81,"true",14,"true"
"1383","V2949",6469839055,"","96","2","9 minutes","May 22nd, 2016 (UTC)","Jul 20th, 2016 (UTC)","0","$0.00",6469839055,"CloudKit-749bbe841153ee2c7f3696286a42e7a034c5b818dafb1f7b626455a55c50c35f084210ae9695a50d717958caf86ca68ea0ad42259577bdef7cb59449fc1b4df9","","Glendale","United States","Apple iPad","Apple iPad Air 2","Phoenix, AZ","184.101.14.105","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Arizona","3.3.3","3.5.1",NA,NA,"","false",366,19,"true",9,"true"
